condition_met_time,scheduled_crash_time,rstp_throttled,rstp_volume_bytes,workstation_count,hour,delay_hours
2025-01-03T14:00:00,2025-01-03T17:00:00,True,426960,97,14,3
2025-01-03T15:00:00,2025-01-03T18:00:00,True,239460,97,15,3
2025-01-03T16:00:00,2025-01-03T19:00:00,True,235980,97,16,3
2025-01-06T13:00:00,2025-01-06T16:00:00,True,445800,96,13,3
2025-01-06T14:00:00,2025-01-06T17:00:00,True,82560,96,14,3
2025-01-08T09:00:00,2025-01-08T12:00:00,True,757440,95,9,3
2025-01-09T13:00:00,2025-01-09T16:00:00,True,279480,91,13,3
2025-01-14T16:00:00,2025-01-14T19:00:00,True,390600,97,16,3
2025-01-17T09:00:00,2025-01-17T12:00:00,True,166260,101,9,3
2025-01-17T10:00:00,2025-01-17T13:00:00,True,243480,101,10,3
2025-01-17T11:00:00,2025-01-17T14:00:00,True,545760,101,11,3
2025-01-21T13:00:00,2025-01-21T16:00:00,True,657000,100,13,3
2025-01-21T14:00:00,2025-01-21T17:00:00,True,271560,100,14,3
2025-01-21T15:00:00,2025-01-21T18:00:00,True,109200,100,15,3
